category,image_name,image_number,image_iter
Nonliving_Things,processed/house/house-45_9.png,45,9
Living_Things,processed/face/face-22_9.png,22,9
Nonliving_Things,processed/house/house-89_9.png,89,9
Nonliving_Things,processed/house/house-5_9.png,5,9
Living_Things,processed/face/face-76_9.png,76,9
Living_Things,processed/face/face-46_9.png,46,9
Nonliving_Things,processed/house/house-83_9.png,83,9
Living_Things,processed/face/face-71_9.png,71,9
Nonliving_Things,processed/house/house-17_9.png,17,9
Living_Things,processed/face/face-85_9.png,85,9
Living_Things,processed/face/face-23_9.png,23,9
Living_Things,processed/face/face-64_9.png,64,9
Nonliving_Things,processed/house/house-28_9.png,28,9
Living_Things,processed/face/face-73_9.png,73,9
Nonliving_Things,processed/house/house-34_9.png,34,9
Living_Things,processed/face/face-24_9.png,24,9
Living_Things,processed/face/face-21_9.png,21,9
Nonliving_Things,processed/house/house-44_9.png,44,9
Living_Things,processed/face/face-61_9.png,61,9
Nonliving_Things,processed/house/house-53_9.png,53,9
Nonliving_Things,processed/house/house-68_9.png,68,9
Living_Things,processed/face/face-58_9.png,58,9
Living_Things,processed/face/face-91_9.png,91,9
Nonliving_Things,processed/house/house-42_9.png,42,9
Living_Things,processed/face/face-2_9.png,2,9
Nonliving_Things,processed/house/house-50_9.png,50,9
Living_Things,processed/face/face-42_9.png,42,9
Nonliving_Things,processed/house/house-57_9.png,57,9
Living_Things,processed/face/face-25_9.png,25,9
Living_Things,processed/face/face-60_9.png,60,9
Living_Things,processed/face/face-84_9.png,84,9
Nonliving_Things,processed/house/house-98_9.png,98,9
Nonliving_Things,processed/house/house-30_9.png,30,9
Nonliving_Things,processed/house/house-49_9.png,49,9
Living_Things,processed/face/face-90_9.png,90,9
Living_Things,processed/face/face-96_9.png,96,9
Nonliving_Things,processed/house/house-60_9.png,60,9
Living_Things,processed/face/face-57_9.png,57,9
Living_Things,processed/face/face-100_9.png,100,9
Living_Things,processed/face/face-54_9.png,54,9
Nonliving_Things,processed/house/house-33_9.png,33,9
Living_Things,processed/face/face-36_9.png,36,9
Nonliving_Things,processed/house/house-90_9.png,90,9
Nonliving_Things,processed/house/house-87_9.png,87,9
Living_Things,processed/face/face-66_9.png,66,9
Nonliving_Things,processed/house/house-46_9.png,46,9
Living_Things,processed/face/face-65_9.png,65,9
Living_Things,processed/face/face-62_9.png,62,9
Nonliving_Things,processed/house/house-75_9.png,75,9
Nonliving_Things,processed/house/house-55_9.png,55,9
Nonliving_Things,processed/house/house-80_9.png,80,9
Nonliving_Things,processed/house/house-39_9.png,39,9
Living_Things,processed/face/face-50_9.png,50,9
Living_Things,processed/face/face-33_9.png,33,9
Nonliving_Things,processed/house/house-70_9.png,70,9
Living_Things,processed/face/face-63_9.png,63,9
Living_Things,processed/face/face-32_9.png,32,9
Nonliving_Things,processed/house/house-1_9.png,1,9
Living_Things,processed/face/face-74_9.png,74,9
Living_Things,processed/face/face-75_9.png,75,9
Nonliving_Things,processed/house/house-19_9.png,19,9
Nonliving_Things,processed/house/house-95_9.png,95,9
Living_Things,processed/face/face-79_9.png,79,9
Nonliving_Things,processed/house/house-74_9.png,74,9
Nonliving_Things,processed/house/house-66_9.png,66,9
Nonliving_Things,processed/house/house-94_9.png,94,9
Nonliving_Things,processed/house/house-99_9.png,99,9
Nonliving_Things,processed/house/house-78_9.png,78,9
Nonliving_Things,processed/house/house-69_9.png,69,9
Living_Things,processed/face/face-17_9.png,17,9
Living_Things,processed/face/face-83_9.png,83,9
Living_Things,processed/face/face-68_9.png,68,9
Nonliving_Things,processed/house/house-96_9.png,96,9
Nonliving_Things,processed/house/house-58_9.png,58,9
Nonliving_Things,processed/house/house-3_9.png,3,9
Living_Things,processed/face/face-92_9.png,92,9
Nonliving_Things,processed/house/house-72_9.png,72,9
Nonliving_Things,processed/house/house-63_9.png,63,9
Nonliving_Things,processed/house/house-14_9.png,14,9
Living_Things,processed/face/face-16_9.png,16,9
Living_Things,processed/face/face-81_9.png,81,9
Living_Things,processed/face/face-72_9.png,72,9
Living_Things,processed/face/face-78_9.png,78,9
Nonliving_Things,processed/house/house-84_9.png,84,9
Nonliving_Things,processed/house/house-81_9.png,81,9
Living_Things,processed/face/face-13_9.png,13,9
Nonliving_Things,processed/house/house-32_9.png,32,9
Living_Things,processed/face/face-27_9.png,27,9
Nonliving_Things,processed/house/house-7_9.png,7,9
Nonliving_Things,processed/house/house-56_9.png,56,9
Living_Things,processed/face/face-6_9.png,6,9
Nonliving_Things,processed/house/house-25_9.png,25,9
Nonliving_Things,processed/house/house-16_9.png,16,9
Nonliving_Things,processed/house/house-11_9.png,11,9
Living_Things,processed/face/face-67_9.png,67,9
Living_Things,processed/face/face-19_9.png,19,9
Living_Things,processed/face/face-39_9.png,39,9
Living_Things,processed/face/face-40_9.png,40,9
Living_Things,processed/face/face-48_9.png,48,9
Nonliving_Things,processed/house/house-86_9.png,86,9
